month,track_id,spotify_streams,spotify_revenue,youtube_streams,youtube_revenue,apple_streams,apple_revenue,publishing_revenue,neighboring_rights_revenue,sync_revenue,other_revenue,total_revenue
2023-01,TRK_E_001,138393,415.18,59575,178.73,76368,229.1,171.66,58.92,11.44,58.9,1123.93
2023-01,TRK_E_002,134019,402.06,57656,172.97,74683,224.05,176.52,55.67,11.68,57.14,1100.0900000000001
2023-01,TRK_E_003,30732,92.2,13180,39.54,19021,57.06,40.88,13.3,2.76,13.43,259.17
2023-01,TRK_E_004,97899,293.7,41809,125.43,58545,175.64,131.85,44.37,131.32,43.84,946.15
2023-01,TRK_E_005,166037,498.11,67534,202.6,91595,274.79,198.62,65.84,13.82,70.47,1324.2499999999998
2023-01,TRK_E_006,172114,516.34,73634,220.9,99133,297.4,229.89,77.89,15.25,79.72,1437.3899999999999
2023-01,TRK_E_007,106358,319.08,45842,137.53,59961,179.89,132.58,44.68,9.07,43.6,866.4300000000001
2023-01,TRK_E_008,51088,153.27,23764,71.29,31221,93.67,68.67,22.03,4.59,22.2,435.72
2023-01,TRK_E_009,118283,354.85,51806,155.42,69206,207.62,146.65,50.57,10.24,53.04,978.39
2023-01,TRK_E_010,172175,516.53,73084,219.25,103268,309.8,218.24,77.02,15.27,75.51,1431.62
2023-01,TRK_E_011,76163,228.49,32927,98.78,45633,136.9,97.21,34.29,6.56,31.37,633.5999999999999
2023-01,TRK_E_012,138458,415.37,59814,179.44,84644,253.93,179.01,61.21,12.47,64.3,1165.73
2023-01,TRK_E_013,134798,404.4,61246,183.74,81118,243.36,186.99,61.48,12.01,58.13,1150.1100000000001
2023-01,TRK_E_014,53928,161.79,23524,70.57,29637,88.91,66.41,23.04,67.27,23.23,501.21999999999997
2023-01,TRK_E_015,83715,251.15,35891,107.67,44814,134.44,109.23,35.02,7.0,36.38,680.89
2023-01,TRK_E_016,85516,256.55,40096,120.29,49279,147.84,113.52,40.27,7.71,39.04,725.22
2023-01,TRK_E_017,106072,318.22,45624,136.87,62960,188.88,142.77,47.77,9.28,46.39,890.18
2023-01,TRK_E_018,158333,475.0,67127,201.38,93520,280.56,199.55,64.94,13.5,68.32,1303.25
