month,track_id,spotify_streams,spotify_revenue,youtube_streams,youtube_revenue,apple_streams,apple_revenue,publishing_revenue,neighboring_rights_revenue,sync_revenue,other_revenue,total_revenue
2023-06,TRK_H_001,618883,1237.77,690691,1381.38,337426,674.85,,231.93,82.76,377.6,3986.29
2023-06,TRK_H_002,326638,653.28,317067,634.13,178826,357.65,,106.03,42.58,189.3,1982.97
2023-06,TRK_H_003,100593,201.19,120224,240.45,50319,100.64,,40.5,16.28,58.95,658.01
2023-06,TRK_H_004,52098,104.2,54010,108.02,29838,59.68,,18.91,8.3,32.4,331.51
2023-06,TRK_H_005,24579,49.16,28733,57.47,12442,24.89,,8.02,3.72,14.76,158.02
2023-06,TRK_H_006,76694,153.39,71042,142.08,32542,65.09,,23.07,10.3,41.22,435.15
2023-06,TRK_H_007,23993,47.99,23983,47.97,12226,24.45,,7.49,2.91,13.8,144.61
2023-06,TRK_H_008,47266,94.53,52307,104.62,27257,54.51,,18.48,6.75,27.81,306.7
2023-06,TRK_H_009,67800,135.6,67950,135.9,32119,64.24,,23.13,8.65,37.38,404.9
2023-06,TRK_H_010,62407,124.82,60307,120.61,30308,60.62,,22.15,7.93,37.31,373.44
2023-06,TRK_H_011,72511,145.02,71891,143.78,34078,68.16,,22.45,9.78,36.32,425.51
2023-06,TRK_H_012,82155,164.31,77526,155.05,37494,74.99,,24.42,9.94,42.43,471.14
2023-06,TRK_H_013,112150,224.3,101184,202.37,52837,105.67,,36.17,12.82,58.7,640.03
2023-06,TRK_H_014,34998,70.0,35562,71.13,19237,38.47,,10.93,5.29,20.45,216.27
2023-06,TRK_H_015,49639,99.28,56470,112.94,23665,47.33,,17.25,7.26,28.22,312.28
2023-06,TRK_H_016,32437,64.87,35291,70.58,17317,34.63,,11.08,4.15,18.85,204.16
2023-06,TRK_H_017,102466,204.93,85879,171.76,44060,88.12,,30.9,11.61,49.81,557.13
2023-06,TRK_H_018,19345,38.69,18527,37.06,9536,19.07,,6.54,2.75,9.17,113.28
2023-06,TRK_H_019,125919,251.84,130105,260.21,65908,131.82,,36.75,15.46,70.85,766.93
2023-06,TRK_H_020,65386,130.77,62981,125.96,29132,58.27,,22.37,8.38,31.88,377.63
2023-06,TRK_H_021,94272,188.54,96484,192.97,56267,112.53,,36.69,12.67,58.04,601.44
2023-06,TRK_H_022,45397,90.79,51032,102.07,26219,52.44,,17.03,6.46,26.64,295.43
2023-06,TRK_H_023,49557,99.11,47831,95.66,23185,46.37,,17.59,6.12,25.01,289.86
2023-06,TRK_H_024,100303,200.61,86423,172.85,49770,99.54,,29.68,11.22,46.45,560.35
2023-06,TRK_H_025,23906,47.81,23625,47.25,12426,24.85,,7.17,3.15,12.97,143.2
2023-06,TRK_H_026,59934,119.87,52570,105.14,30881,61.76,,17.65,8.21,30.8,343.43
2023-06,TRK_H_027,45370,90.74,54648,109.3,23142,46.29,,17.66,6.26,26.46,296.71
2023-06,TRK_H_028,62966,125.93,54965,109.93,30316,60.63,,20.22,7.09,30.86,354.66
2023-06,TRK_H_029,119454,238.91,113259,226.52,51539,103.08,,41.66,16.2,64.6,690.97
2023-06,TRK_H_030,24964,49.93,22835,45.67,10841,21.68,,7.62,3.4,11.44,139.74
2023-06,TRK_H_031,77231,154.46,76697,153.39,37634,75.27,,25.78,9.01,35.28,453.19
2023-06,TRK_H_032,73140,146.28,62355,124.71,35987,71.97,,23.74,8.78,38.68,414.16
2023-06,TRK_H_033,54544,109.09,49634,99.27,23901,47.8,,17.46,6.93,24.84,305.39
2023-06,TRK_H_034,112062,224.12,94624,189.25,54410,108.82,,37.65,14.99,54.13,628.96
2023-06,TRK_H_035,47952,95.9,44584,89.17,22687,45.38,,15.16,5.87,23.89,275.37
2023-06,TRK_H_036,65419,130.84,62947,125.9,35432,70.86,,21.94,9.27,37.77,396.58
2023-06,TRK_H_037,27461,54.92,25752,51.5,14344,28.69,,9.42,3.66,13.6,161.79
2023-06,TRK_H_038,42941,85.88,41229,82.46,22511,45.02,,15.61,6.28,23.11,258.36
