month,track_id,spotify_streams,spotify_revenue,youtube_streams,youtube_revenue,apple_streams,apple_revenue,publishing_revenue,neighboring_rights_revenue,sync_revenue,other_revenue,total_revenue
2024-06,TRK_M_001,1455146,2910.29,3564362,7128.72,739271,1478.54,1311.53,261.46,0.0,413.74,13504.279999999999
2024-06,TRK_M_002,1241051,2482.1,3767396,7534.79,577383,1154.77,1288.01,241.7,0.0,379.38,13080.75
2024-06,TRK_M_003,617137,1234.28,1882725,3765.45,325677,651.36,666.6,136.7,0.0,189.94,6644.329999999999
2024-06,TRK_M_004,58117,116.24,161194,322.39,29655,59.31,56.14,12.65,0.0,16.98,583.71
2024-06,TRK_M_005,30483,60.97,81004,162.01,14769,29.54,31.19,6.42,0.0,8.97,299.1
2024-06,TRK_M_006,28045,56.09,67001,134.0,14321,28.64,25.31,5.56,0.0,7.05,256.65000000000003
2024-06,TRK_M_007,65510,131.02,156452,312.9,27405,54.81,64.37,11.48,0.0,16.59,591.17
2024-06,TRK_M_008,68921,137.84,186029,372.06,32716,65.43,67.16,14.6,0.0,21.41,678.4999999999999
2024-06,TRK_M_009,48105,96.21,126491,252.98,24459,48.92,49.06,9.62,0.0,13.38,470.17
2024-06,TRK_M_010,91233,182.47,283290,566.58,48661,97.32,95.28,17.89,0.0,26.74,986.2800000000001
2024-06,TRK_M_011,62270,124.54,179673,359.35,29655,59.31,64.49,13.67,0.0,18.85,640.21
2024-06,TRK_M_012,46520,93.04,149920,299.84,25044,50.09,50.71,10.15,0.0,16.52,520.35
2024-06,TRK_M_013,45397,90.8,120173,240.35,22300,44.6,43.36,8.43,0.0,13.71,441.25
2024-06,TRK_M_014,39815,79.63,106786,213.57,20225,40.45,38.24,8.13,0.0,10.77,390.78999999999996
2024-06,TRK_M_015,61962,123.92,175860,351.72,30514,61.03,66.01,11.7,0.0,20.02,634.4000000000001
2024-06,TRK_M_016,39181,78.36,110406,220.81,20236,40.47,43.28,7.61,0.0,12.79,403.32
2024-06,TRK_M_017,11077,22.16,29233,58.47,4865,9.73,10.55,1.97,0.0,3.19,106.07
2024-06,TRK_M_018,40439,80.88,115280,230.56,22340,44.68,38.91,7.76,0.0,11.44,414.22999999999996
2024-06,TRK_M_019,65540,131.08,178882,357.77,32306,64.61,70.92,13.43,0.0,18.49,656.3
2024-06,TRK_M_020,22617,45.23,57693,115.39,10729,21.46,23.01,4.56,0.0,6.32,215.97
2024-06,TRK_M_021,20013,40.03,59166,118.33,10126,20.25,22.75,4.28,0.0,6.55,212.19000000000003
2024-06,TRK_M_022,64405,128.81,148912,297.83,29032,58.07,60.25,11.02,0.0,17.21,573.19
2024-06,TRK_M_023,61014,122.03,169576,339.15,29457,58.91,63.05,11.78,0.0,19.77,614.6899999999998
2024-06,TRK_M_024,55271,110.54,154267,308.53,27421,54.84,53.3,10.87,0.0,17.17,555.2499999999999
