track_id,track_title,artist_name,release_date,genre,duration_sec,ownership_share_pct,catalog_weight_hint,is_focus_track,is_explicit,language,territory_origin
TRK_M_001,Hit Trap 1,Lil Flow,2022-02-16,Hip-Hop,198,85.0,30.329671861535275,True,True,en,US
TRK_M_002,Hit Trap 2,Lil Flow,2021-04-17,R&B,151,85.0,25.274726551279397,True,True,en,US
TRK_M_003,Hit Trap 3,Lil Flow,2022-07-31,R&B,174,85.0,15.164835930767637,True,True,en,US
TRK_M_004,Filler Track 4,Lil Flow,2022-12-19,Hip-Hop,124,85.0,1.4389320907258616,False,True,en,US
TRK_M_005,Filler Track 5,Lil Flow,2022-04-30,R&B,198,85.0,0.6507380081342372,False,True,en,US
TRK_M_006,Filler Track 6,Lil Flow,2021-06-08,Hip-Hop,176,85.0,0.5368531489063748,False,True,en,US
TRK_M_007,Filler Track 7,Lil Flow,2022-08-06,R&B,162,85.0,1.160107988656256,False,True,en,US
TRK_M_008,Filler Track 8,Lil Flow,2023-02-22,R&B,185,85.0,1.4831118981881388,False,True,en,US
TRK_M_009,Filler Track 9,Lil Flow,2021-09-02,R&B,172,85.0,0.9138353124162594,False,True,en,US
TRK_M_010,Filler Track 10,Lil Flow,2022-07-10,Hip-Hop,191,85.0,1.9850284725397653,False,True,en,US
TRK_M_011,Filler Track 11,Lil Flow,2021-12-24,R&B,227,85.0,1.416574118850777,False,True,en,US
TRK_M_012,Filler Track 12,Lil Flow,2021-11-02,Hip-Hop,188,85.0,1.0249110009902263,False,True,en,US
TRK_M_013,Filler Track 13,Lil Flow,2022-06-15,R&B,199,85.0,0.8543092978777018,False,True,en,US
TRK_M_014,Filler Track 14,Lil Flow,2023-01-16,Hip-Hop,224,85.0,0.7603024254685239,False,True,en,US
TRK_M_015,Filler Track 15,Lil Flow,2021-02-26,R&B,214,85.0,1.501515337933183,False,True,en,US
TRK_M_016,Filler Track 16,Lil Flow,2021-05-20,R&B,164,85.0,0.9435432165567489,False,True,en,US
TRK_M_017,Filler Track 17,Lil Flow,2022-04-19,R&B,197,85.0,0.21573293757025722,False,True,en,US
TRK_M_018,Filler Track 18,Lil Flow,2021-09-17,R&B,215,85.0,0.8656938440727235,False,True,en,US
TRK_M_019,Filler Track 19,Lil Flow,2021-08-11,Hip-Hop,169,85.0,1.5186989439794223,False,True,en,US
TRK_M_020,Filler Track 20,Lil Flow,2022-04-13,R&B,161,85.0,0.45164347867134946,False,True,en,US
TRK_M_021,Filler Track 21,Lil Flow,2021-07-18,Hip-Hop,150,85.0,0.43812053833240927,False,True,en,US
TRK_M_022,Filler Track 22,Lil Flow,2023-08-16,Hip-Hop,179,85.0,1.1221448934626284,False,True,en,US
TRK_M_023,Filler Track 23,Lil Flow,2023-04-23,R&B,141,85.0,1.1226754657639189,False,True,en,US
TRK_M_024,Filler Track 24,Lil Flow,2021-04-20,Hip-Hop,175,85.0,1.3197065233004348,False,True,en,US
TRK_M_025,Filler Track 25,Lil Flow,2021-02-16,R&B,172,85.0,1.7327547864703066,False,True,en,US
TRK_M_026,Filler Track 26,Lil Flow,2022-03-10,Hip-Hop,185,85.0,1.4926900840249013,False,True,en,US
TRK_M_027,Filler Track 27,Lil Flow,2022-02-24,R&B,168,85.0,1.2748012695122952,False,True,en,US
TRK_M_028,Filler Track 28,Lil Flow,2023-06-23,R&B,155,85.0,1.4888253858916372,False,True,en,US
TRK_M_029,Filler Track 29,Lil Flow,2022-05-02,Hip-Hop,152,85.0,0.7214639720603506,False,True,en,US
TRK_M_030,Filler Track 30,Lil Flow,2021-11-20,Hip-Hop,169,85.0,0.796051216061,False,True,en,US
